year,month,day,num_article,words
2025,10,7,1,"['france', 'impasse', 'pays', 'désunir', 'jour', 'matignon', 'sébastien', 'lecornu', 'présenter', 'démission', 'emmanuel', 'devenir', 'ministre', 'éphémère', 've', 'république', 'juriste', 'international', 'arnaud', 'instabilité', 'refléter', 'essoufflement', 'système', 'évoquer', 'régime', 'fin', 'course', 'bout', 'souffle', 'idée', 'ficelle', 'part', 'commenter', 'micro', 'zone', 'contact', 'savoir', 'écouter', 'podcast', 'site', 'lecteur', 'intégré', 'addict']"
2025,10,7,2,"['guerre', 'ukraine', 'aubaine', 'seigneur', 'libye', 'analyste', 'conflit', 'ukrainien', 'ajouter', 'facteur', 'local', 'affecter', 'situation', 'sécuritaire', 'région', 'sahélo', 'saharien', 'expliquer', 'sputnik', 'afrique', 'dr', 'abdelkader', 'soufi', 'enseignant', 'chercheur', 'géopolitique', 'politique', 'défense', 'université', 'blida', 'reproche', 'occident', 'créer', 'zone', 'terrorisme', 'vouloir', 'intervenir', 'ordre', 'mondial', 'raison', 'humanitaire', 'revenir', 'rôle', 'france', 'processus', 'retrouver', 'commentaire', 'vidéo']"
2025,10,7,3,"['mal', 'trouver', 'ministre', 'démission', 'lecornu', 'média', 'français', 'départ', 'chef', 'gouvernement', 'éphémère', 'situation', 'politique', 'france', 'tendre', 'projet', 'budget', 'menacer', 'futur', 'emmanuel', 'an', 'mandat', 'peine', 'état', 'latitude', 'nommer', 'personnalité', 'souhaiter', 'épuiser', 'possibilité', 'survivre', 'examiner', 'conseil', 'octobre', 'manière', 'assemblée', 'national', 'examine', 'compter', 'former', 'évident', 'suggérer', 'presse', 'sébastien', 'devenir', 'durer', 'jour', 'nuit']"
2025,10,7,4,"['tiers', 'français', 'vouloir', 'démission', 'emmanuel', 'indique', 'sondage', 'suite', 'sébastien', 'lecornu', 'étude', 'odoxa', 'révéler', 'profond', 'rejet', 'classe', 'politique', 'conserve', 'estime', 'plafonner', 'opinion', 'positif', 'juger', 'ensemble', 'parti', 'responsable', 'crise', 'président', 'désigner', 'principal', 'sondé', 'face', 'défiance', 'simple', 'remaniement', 'souhaiter', 'ministre', 'solution', 'privilégier', 'issue', 'radical', 'déclarer', 'favorable', 'chiffre', 'hausse', 'continuer', 'point', 'septembre']"
2025,10,6,1,"['afrique', 'sud', 'envoyer', 'enquêteur', 'france', 'investiguer', 'mort', 'ambassadeur', 'équipe', 'agent', 'chevronné', 'aider', 'élucider', 'décès', 'nkosinathi', 'emmanuel', 'mthethwa', 'retrouver', 'vie', 'pied', 'hôtel', 'hyatt', 'regency', 'septembre', 'groupe', 'travailler', 'collaboration', 'force', 'ordre', 'français', 'garantir', 'enquête', 'approfondie', 'transparent', 'préciser', 'service', 'police', 'déploiement', 'refléter', 'engagement', 'faire', 'établir', 'vérité', 'tragédie', 'part', 'commenter', 'ministre', 'famille', 'diplomate', 'devoir', 'recevoir', 'résultat', 'autopsie', 'octobre', 'proche', 'espérer', 'fin', 'semaine', 'démarche', 'lier', 'rapatriement', 'dépouille', 'terminer', 'enterrement', 'week', 'end', 'prochain', 'relater', 'radio', 'sabc']"
2025,10,6,2,"['principal', 'événement', 'monde', 'soir', 'octobre', 'égypte', 'accueillir', 'cycle', 'négociation', 'indirect', 'israël', 'hamas', 'plan', 'règlement', 'proposer', 'trump', 'président', 'malgache', 'nommer', 'général', 'ruphin', 'fortunat', 'zafisambo', 'poste', 'chef', 'gouvernement', 'fond', 'protestation', 'masse', 'ministre', 'français', 'sébastien', 'lecornu', 'remettre', 'démission', 'emmanuel', 'accepter', 'mandat', 'court', 'histoire', 'pays', 'jour', 'entretien', 'téléphonique', 'netanyahou', 'vladimir', 'poutine', 'réaffirmer', 'position', 'moscou', 'faveur', 'global', 'question', 'palestinien', 'fonder', 'principe', 'juridique', 'international', 'service', 'russe', 'renseignement', 'extérieur', 'accuser', 'londre', 'préparer', 'nouveau', 'provocation', 'impliquer', 'attaque', 'navire', 'marine', 'ukrainien', 'civil', 'étranger', 'port', 'européen']"
2025,10,6,3,"['france', 'roue', 'libre', 'cockpit', 'analyste', 'géopolitique', 'français', 'suite', 'démission', 'ministre', 'genou', 'fatiguer', 'ruiner', 'stresser', 'désabuser', 'agresser', 'agacer', 'comprendre', 'situer', 'problème', 'déclarer', 'sputnik', 'afrique', 'thierry', 'laurent', 'pellet', 'homme', 'affaire', 'constater', 'destruction', 'ancien', 'puissance', 'économique', 'dénoncer', 'démantèlement', 'absorption', 'union', 'européen', 'organiser', 'emmanuel', 'leader', 'charismatique', 'classe', 'politique', 'actif', 'permettre', 'prendre', 'rêne', 'pays', 'remettre', 'rail', 'déplorer', 'devoir', 'identifier', 'sortir', 'crise', 'épouvantable']"
2025,10,6,4,"['démission', 'remise', 'jeu', 'mandat', 'meilleur', 'chose', 'faire', 'remarque', 'crise', 'politique', 'traverser', 'france', 'enfoncer', 'constater', 'sputnik', 'afrique', 'arnaud', 'develay', 'juriste', 'français', 'droit', 'international', 'consulter', 'régime', 'fin', 'course', 'bout', 'souffle', 'idée', 'estime', 'commenter', 'ministre', 'sébastien', 'lecornu', 'jour', 'nomination', 'cause', 'situation', 'actuel', 'profond', 'expliquer', 'expert', 'devoir', 'maîtresse', 'destin', 'décision', 'prendre', 'bruxelle', 'remédier', 'falloir', 'sorte', 'union', 'européen', 'reprendre', 'souveraineté', 'récupérer', 'maîtrise', 'frontière', 'otan', 'préconiser', 'effectuer', 'pivot', 'eurasie', 'passer', 'devenir', 'centre', 'gravité', 'relation', 'émancipation', 'risque', 'déplair', 'occident', 'guider', 'intérêt', 'avertir', 'dette', 'milliard', 'euro', 'notation', 'dégrader', 'désindustrialisation', 'dérive', 'pointe', 'ajouter', 'exister', 'prise', 'contrôle', 'pays', 'banquier', 'francfort', 'fmi']"
2025,10,6,5,"['gouvernement', 'nuit', 'démission', 'lecornu', 'internaute', 'abonder', 'réaction', 'hilarant', 'attendre', 'annonce', 'emmanuel']"
2025,10,6,6,"['principal', 'événement', 'monde', 'octobre', 'matin', 'égypte', 'accueillir', 'cycle', 'négociation', 'indirect', 'israël', 'hama', 'rue', 'centre', 'historique', 'dakar', 'rebaptiser', 'hommage', 'identité', 'sénégalais', 'délégation', 'parlementaire', 'burkinabè', 'nigérien', 'assister', 'session', 'conseil', 'national', 'transition', 'cnt', 'mali', 'ministre', 'français', 'sébastien', 'lecornu', 'remettre', 'démission', 'emmanuel', 'accepter', 'mandat', 'court', 'histoire', 'pays', 'jour', 'leyen', 'confronter', 'motion', 'censure', 'cause', 'politique', 'écrire', 'politico', 'troupe', 'ukrainien', 'utiliser', 'munition', 'phosphore', 'interdire', 'rapporter', 'militaire', 'russe', 'sputnik']"
